transaction_id,target_id,acquirer_id,announce_date,close_date,deal_year,deal_quarter,deal_type,financing_type,deal_size_mm,ev_ebitda_multiple,ev_revenue_multiple,synergy_pct_of_deal,outcome,strategic_rationale_tags,num_bidders,days_to_close,target_name,target_sector,target_sub_sector,target_geography,target_ownership_type,target_ltm_revenue_mm,target_ebitda_margin_pct,acquirer_name,acquirer_type,acquirer_sector_focus,acquirer_geographic_reach,sector_median_ev_ebitda,sector_median_ev_revenue,ev_ebitda_pct_vs_sector_median,ev_revenue_pct_vs_sector_median,acquirer_fiscal_revenue_mm,acquirer_fiscal_ebitda_mm,acquirer_net_debt_mm,acquirer_cash_mm,acquirer_total_assets_mm,deal_size_tier
TXN-0260,TGT-0141,ACQ-013,2015-09-24,2016-06-16,2015,Q3,Management Buyout,Stock-for-Stock,751.2,18.2,7.59,3.9,Closed,Vertical Integration|Platform Build|Regulatory Arbitrage|Talent Acquisition|Margin Improvement,6,266,Vanguard Home Care,Home Health/Hospice,Personal Care,Southeast,Physician-Owned,544.1,34.1,Evolent Health,Strategic,Health IT,National,10.7,4.49,70.09345794392524,69.04231625835187,707.9,194.7,332.2,62.4,1076.7,Large
TXN-0459,TGT-0179,ACQ-012,2015-09-01,2016-04-28,2015,Q3,Recapitalization,Mixed,586.9,10.1,4.83,20.0,Closed,Cost Synergies|Market Consolidation|Geographic Expansion|Technology Capability,4,240,Prism Pharma,Pharma/Biotech,Biotech Therapeutics,Northeast,PE-Backed,304.3,13.5,Phreesia,Strategic,Health IT,National,17.0,3.36,-40.588235294117645,43.75000000000001,396.7,67.4,75.5,34.7,1118.9,Large
TXN-0185,TGT-0193,ACQ-006,2015-12-24,2016-08-20,2015,Q4,Platform Investment,Stock-for-Stock,451.3,19.5,6.24,5.3,Closed,Talent Acquisition|Margin Improvement|Geographic Expansion|Vertical Integration,3,240,Kensington Life Sciences,Pharma/Biotech,Drug Delivery,Northeast,Nonprofit,235.9,16.8,Molina Healthcare,Strategic,Health Insurance,Multi-Regional,10.5,2.61,85.71428571428571,139.08045977011497,2081.6,235.2,588.5,215.4,6112.7,Mid-Market
TXN-0469,TGT-0206,ACQ-020,2015-06-25,,2015,Q2,Management Buyout,All Cash,349.3,11.1,4.96,13.1,Withdrawn,Brand Value|Vertical Integration|Cross-Sell Opportunity,3,,Granite Healthcare,Healthcare Services,Post-Acute Care,Great Plains,Public,252.0,23.5,Qualifacts,Strategic,Health IT,National,12.5,3.35,-11.200000000000003,48.05970149253731,340.1,44.2,91.4,7.8,648.2,Mid-Market
TXN-0314,TGT-0219,ACQ-011,2015-02-06,2015-06-07,2015,Q1,Merger of Equals,Stock-for-Stock,756.9,8.2,4.51,8.8,Closed,Technology Capability|Geographic Expansion|Platform Build|Brand Value|High Growth,7,121,Atlas Health Services,Healthcare Services,Urgent Care,Great Plains,PE-Backed,832.5,9.5,Veeva Systems,Strategic,Health IT,National,11.1,3.14,-26.12612612612613,43.63057324840763,2171.3,534.1,1012.4,113.7,4956.5,Large
TXN-0171,TGT-0237,ACQ-018,2015-11-17,2016-08-01,2015,Q4,Leveraged Buyout,Cash + Stock,355.9,10.2,7.48,19.1,Closed,Geographic Expansion|Margin Improvement,1,258,Momentum Tech Solutions,Health IT,Clinical Decision Support,Mid-Atlantic,Physician-Owned,689.1,9.1,Medline Industries,Strategic,Medical Devices,National,12.7,2.39,-19.68503937007874,212.97071129707112,3850.4,631.5,1364.6,133.8,10239.6,Mid-Market
TXN-0186,TGT-0238,ACQ-015,2015-01-16,2015-10-01,2015,Q1,Carve-out,Leveraged,765.5,21.9,4.2,14.1,Closed,Margin Improvement|Market Consolidation|Regulatory Arbitrage,5,258,Pacific Health Plans,Health Insurance,Dental Insurance,Southeast,Nonprofit,705.8,25.8,Patterson Companies,Strategic,Dental,National,17.1,4.48,28.070175438596472,-6.250000000000005,1552.8,357.1,862.4,220.2,3665.6,Large
TXN-0036,TGT-0272,ACQ-013,2015-03-22,2015-05-29,2015,Q1,Leveraged Buyout,Cash + Stock,260.0,8.0,4.42,8.2,Closed,Vertical Integration|Margin Improvement|Market Consolidation|Talent Acquisition,2,68,Onyx Medical Group,Healthcare Services,Specialty Clinics,Southeast,Family-Owned,815.9,13.7,Evolent Health,Strategic,Health IT,National,11.1,3.14,-27.927927927927925,40.764331210191074,707.9,194.7,332.2,62.4,1076.7,Mid-Market
TXN-0346,TGT-0279,ACQ-008,2015-02-22,2015-04-20,2015,Q1,Bolt-on Acquisition,Seller Financing,95.5,22.8,3.79,3.0,Closed,High Growth|Brand Value|Cost Synergies,4,57,Axis Device Solutions,Medical Devices,Orthopedic Devices,National,PE-Backed,463.6,26.4,Acadia Healthcare,Strategic,Behavioral Health,National,15.8,2.97,44.303797468354425,27.609427609427602,2236.3,521.1,339.9,271.8,5535.6,Small
TXN-0299,TGT-0297,ACQ-011,2015-03-19,,2015,Q1,Bolt-on Acquisition,Mixed,327.2,17.1,7.29,11.8,Withdrawn,Cost Synergies|Revenue Synergies|High Growth|Vertical Integration|Market Consolidation,4,,Onyx Clinical Group,Physician Groups,Multi-Specialty Groups,Southeast,Family-Owned,310.0,21.5,Veeva Systems,Strategic,Health IT,National,9.7,2.67,76.28865979381446,173.03370786516854,2171.3,534.1,1012.4,113.7,4956.5,Mid-Market
TXN-0407,TGT-0298,ACQ-020,2015-10-21,2016-08-17,2015,Q4,Strategic Acquisition,Leveraged,382.3,19.7,2.79,19.7,Closed,Diversification|Market Consolidation|Talent Acquisition,6,301,Noble Medical Devices,Medical Devices,Diagnostic Equipment,National,Nonprofit,228.4,8.1,Qualifacts,Strategic,Health IT,National,10.5,4.53,87.6190476190476,-38.41059602649007,340.1,44.2,91.4,7.8,648.2,Mid-Market
TXN-0425,TGT-0005,ACQ-030,2015-08-05,,2015,Q3,Recapitalization,Mixed,186.0,7.1,7.56,7.7,Terminated,Margin Improvement|Cost Synergies,6,,Continuum Biopharma,Pharma/Biotech,Specialty Pharma,National,Public,223.2,25.9,Summit Partners,Financial Sponsor,Growth Equity,National,17.0,3.36,-58.235294117647065,124.99999999999997,,,,,,Mid-Market
TXN-0110,TGT-0006,ACQ-025,2015-08-26,2016-09-18,2015,Q3,Management Buyout,All Cash,438.8,8.8,4.42,6.8,Closed,Margin Improvement|Supply Chain Integration|Cross-Sell Opportunity|Revenue Synergies|Talent Acquisition,1,389,Legacy Health Analytics,Health IT,Revenue Cycle Tech,West Coast,Family-Owned,102.9,13.7,Welsh Carson,Financial Sponsor,Healthcare,National,13.2,4.35,-33.33333333333333,1.609195402298857,,,,,,Mid-Market
TXN-0279,TGT-0012,ACQ-037,2015-04-11,,2015,Q2,Carve-out,Leveraged,509.4,17.5,5.18,17.7,Rumored,High Growth|Platform Build|Talent Acquisition,7,,Optima Care Partners,Healthcare Services,Lab Services,Multi-Regional,Public,62.8,12.3,Frazier Healthcare,Financial Sponsor,Healthcare,National,12.5,3.35,40.0,54.62686567164178,,,,,,Large
TXN-0201,TGT-0015,ACQ-038,2015-04-10,,2015,Q2,Merger of Equals,Leveraged,36.1,22.9,3.26,4.7,Rumored,High Growth|Diversification|Geographic Expansion|Regulatory Arbitrage,6,,Crest Hospice Care,Home Health/Hospice,Hospice,National,Private,533.9,9.9,Great Hill Partners,Financial Sponsor,Technology,National,15.6,4.63,46.79487179487179,-29.589632829373652,,,,,,Small
TXN-0161,TGT-0019,ACQ-022,2015-08-01,2016-07-07,2015,Q3,Strategic Acquisition,Stock-for-Stock,181.2,18.4,4.57,19.0,Closed,Brand Value|Platform Build|Geographic Expansion,3,341,Quest Specialty Medicine,Physician Groups,Primary Care Groups,Southwest,Physician-Owned,850.0,23.4,Blackstone,Financial Sponsor,Diversified,National,16.7,4.21,10.17964071856287,8.551068883610458,,,,,,Mid-Market
TXN-0060,TGT-0033,ACQ-038,2015-03-13,2015-11-08,2015,Q1,Merger of Equals,Seller Financing,242.5,19.0,5.17,7.8,Closed,Revenue Synergies|Regulatory Arbitrage|Geographic Expansion|Margin Improvement|Cost Synergies,8,240,Onyx Surgical,Medical Devices,Diagnostic Equipment,Great Plains,Physician-Owned,144.7,10.0,Great Hill Partners,Financial Sponsor,Technology,National,15.8,2.97,20.25316455696202,74.07407407407406,,,,,,Mid-Market
TXN-0310,TGT-0055,ACQ-026,2015-10-09,2016-10-28,2015,Q4,Merger of Equals,Cash + Stock,672.2,15.5,4.08,13.2,Closed,Cross-Sell Opportunity|Diversification,3,385,Resolute Therapeutics,Pharma/Biotech,Generic Pharma,National,Physician-Owned,578.0,23.2,Warburg Pincus,Financial Sponsor,Healthcare,National,10.5,2.61,47.61904761904761,56.32183908045978,,,,,,Large
TXN-0326,TGT-0064,ACQ-026,2015-04-17,,2015,Q2,Strategic Acquisition,Mixed,566.5,20.2,2.56,15.6,Withdrawn,Cost Synergies|Regulatory Arbitrage|Supply Chain Integration|Talent Acquisition|Technology Capability,1,,Quest Dental Care,Dental,DSO (Dental Support Org),Southwest,Family-Owned,93.8,31.0,Warburg Pincus,Financial Sponsor,Healthcare,National,17.0,3.32,18.823529411764703,-22.891566265060238,,,,,,Large
TXN-0096,TGT-0065,ACQ-029,2015-04-03,2016-01-10,2015,Q2,Bolt-on Acquisition,Cash + Stock,402.5,12.5,3.04,16.6,Closed,Diversification|Platform Build,6,282,Onyx Smile Partners,Dental,Oral Surgery,West Coast,Physician-Owned,143.7,33.6,General Atlantic,Financial Sponsor,Growth Equity,National,17.0,3.32,-26.47058823529412,-8.43373493975903,,,,,,Mid-Market
TXN-0345,TGT-0074,ACQ-039,2015-01-21,2015-05-29,2015,Q1,Bolt-on Acquisition,Seller Financing,684.4,7.6,1.8,15.9,Closed,Diversification|Margin Improvement|Cost Synergies|Technology Capability,8,128,Unity Health Coverage,Health Insurance,Dental Insurance,National,Private,949.4,24.9,Apax Partners,Financial Sponsor,Diversified,National,17.1,4.48,-55.55555555555556,-59.821428571428584,,,,,,Large
TXN-0151,TGT-0093,ACQ-034,2015-07-24,,2015,Q3,Bolt-on Acquisition,Cash + Stock,748.1,8.9,4.37,19.9,Rumored,Regulatory Arbitrage|Margin Improvement|Market Consolidation,7,,Acumen Health Analytics,Health IT,Telehealth,Mid-Atlantic,Nonprofit,683.1,24.7,Oak Hill Capital,Financial Sponsor,Diversified,National,13.2,4.35,-32.57575757575757,0.4597701149425394,,,,,,Large
TXN-0303,TGT-0109,ACQ-034,2015-12-02,2016-12-30,2015,Q4,SPAC Merger,Seller Financing,746.7,15.0,3.23,10.3,Closed,Diversification|Revenue Synergies|Technology Capability|Brand Value,6,394,Embark Healthcare,Healthcare Services,Lab Services,Great Plains,Family-Owned,518.8,34.5,Oak Hill Capital,Financial Sponsor,Diversified,National,13.3,2.75,12.781954887218038,17.454545454545453,,,,,,Large
TXN-0105,TGT-0137,ACQ-034,2015-03-24,2015-08-14,2015,Q1,Platform Investment,All Cash,769.1,7.8,6.02,12.0,Closed,Cross-Sell Opportunity|Regulatory Arbitrage|Cost Synergies,4,143,Frontier Medical Devices,Medical Devices,Orthopedic Devices,National,Physician-Owned,273.6,23.0,Oak Hill Capital,Financial Sponsor,Diversified,National,15.8,2.97,-50.632911392405056,102.69360269360266,,,,,,Large
TXN-0223,TGT-0138,ACQ-039,2015-08-24,,2015,Q3,Strategic Acquisition,Mixed,761.5,12.2,6.07,15.5,Rumored,Revenue Synergies|Geographic Expansion|Supply Chain Integration,3,,Flatiron Care Partners,Healthcare Services,Specialty Clinics,Southwest,Public,200.0,9.7,Apax Partners,Financial Sponsor,Diversified,National,9.6,4.19,27.083333333333332,44.868735083532215,,,,,,Large
TXN-0034,TGT-0153,ACQ-027,2015-04-02,2015-08-17,2015,Q2,Carve-out,Cash + Stock,336.2,16.8,7.33,10.8,Closed,Margin Improvement|Diversification,6,137,Latitude Health Plans,Health Insurance,Supplemental Insurance,West Coast,PE-Backed,37.4,19.3,Bain Capital,Financial Sponsor,Diversified,National,12.5,2.74,34.400000000000006,167.51824817518246,,,,,,Mid-Market
TXN-0477,TGT-0183,ACQ-027,2015-12-16,2016-04-28,2015,Q4,Merger of Equals,Leveraged,482.7,12.8,1.06,15.6,Closed,Talent Acquisition|Platform Build,4,134,Wellspring Health Analytics,Health IT,Clinical Decision Support,Southwest,PE-Backed,16.2,21.4,Bain Capital,Financial Sponsor,Diversified,National,12.7,2.39,0.7874015748031609,-55.64853556485355,,,,,,Mid-Market
TXN-0422,TGT-0221,ACQ-035,2015-08-26,2016-08-07,2015,Q3,Strategic Acquisition,Seller Financing,750.7,23.3,6.23,8.7,Closed,Supply Chain Integration|Geographic Expansion|Diversification,5,347,Trident Smile Partners,Dental,Pediatric Dental,Northeast,Physician-Owned,577.1,23.0,Cerberus Capital,Financial Sponsor,Diversified,National,15.8,3.26,47.46835443037975,91.10429447852763,,,,,,Large
TXN-0278,TGT-0231,ACQ-036,2015-09-11,2016-04-16,2015,Q3,Carve-out,Seller Financing,254.9,20.0,4.4,14.2,Closed,High Growth|Brand Value|Regulatory Arbitrage,6,218,Encore Clinical Group,Physician Groups,Orthopedic Groups,Northeast,Physician-Owned,911.1,33.5,Water Street Healthcare,Financial Sponsor,Healthcare,National,16.7,4.21,19.760479041916174,4.513064133016637,,,,,,Mid-Market
TXN-0162,TGT-0242,ACQ-040,2015-04-26,2016-04-07,2015,Q2,Carve-out,All Cash,511.6,23.2,6.71,4.7,Closed,Revenue Synergies|Brand Value,3,347,Kinetic Billing Solutions,Revenue Cycle,Patient Financial Services,Multi-Regional,Family-Owned,175.3,25.8,Leonard Green,Financial Sponsor,Diversified,National,17.9,4.5,29.60893854748604,49.111111111111114,,,,,,Large
TXN-0067,TGT-0248,ACQ-023,2015-04-21,2015-12-20,2015,Q2,Recapitalization,Cash + Stock,222.5,10.4,5.61,11.8,Closed,Brand Value|Margin Improvement|Geographic Expansion|Supply Chain Integration|Regulatory Arbitrage,6,243,Trident Care at Home,Home Health/Hospice,Home Infusion,Southeast,Public,463.9,24.9,TPG Capital,Financial Sponsor,Diversified,National,15.6,4.63,-33.33333333333333,21.166306695464375,,,,,,Mid-Market
TXN-0298,TGT-0251,ACQ-024,2015-10-20,2016-11-08,2015,Q4,Minority Investment,Mixed,205.2,6.7,6.65,13.7,Closed,Vertical Integration|Cross-Sell Opportunity|Margin Improvement,1,385,Sterling Life Sciences,Pharma/Biotech,Biotech Therapeutics,National,PE-Backed,199.2,29.2,Hellman & Friedman,Financial Sponsor,Diversified,National,10.5,2.61,-36.19047619047619,154.78927203065138,,,,,,Mid-Market
TXN-0267,TGT-0260,ACQ-036,2015-11-11,2016-12-15,2015,Q4,Merger of Equals,Cash + Stock,517.8,9.8,1.29,6.2,Closed,Cross-Sell Opportunity|Market Consolidation|Diversification|Brand Value|Revenue Synergies,8,400,Optima Home Health,Home Health/Hospice,Home Health,Mid-Atlantic,Nonprofit,705.3,33.1,Water Street Healthcare,Financial Sponsor,Healthcare,National,13.2,4.52,-25.757575757575747,-71.46017699115043,,,,,,Large
TXN-0192,TGT-0263,ACQ-038,2015-12-09,2016-11-18,2015,Q4,Bolt-on Acquisition,Leveraged,67.0,18.7,6.23,16.3,Closed,Cost Synergies|Regulatory Arbitrage|Diversification,4,345,Flatiron Home Health,Home Health/Hospice,Home Health,Multi-Regional,PE-Backed,145.9,11.1,Great Hill Partners,Financial Sponsor,Technology,National,13.2,4.52,41.66666666666667,37.831858407079665,,,,,,Small
TXN-0026,TGT-0265,ACQ-024,2015-04-02,,2015,Q2,Bolt-on Acquisition,Leveraged,331.7,20.8,4.57,12.7,Terminated,Brand Value|Revenue Synergies|Technology Capability,3,,Kensington Wellness Group,Behavioral Health,Autism Services,Southeast,Nonprofit,115.4,16.2,Hellman & Friedman,Financial Sponsor,Diversified,National,15.3,1.64,35.947712418300654,178.6585365853659,,,,,,Mid-Market
TXN-0038,TGT-0274,ACQ-040,2015-03-22,2016-01-03,2015,Q1,Bolt-on Acquisition,Mixed,52.9,8.2,4.0,5.1,Closed,Technology Capability|Market Consolidation|Regulatory Arbitrage,5,287,Acumen Hospice Care,Home Health/Hospice,Personal Care,Mid-Atlantic,Nonprofit,238.9,33.7,Leonard Green,Financial Sponsor,Diversified,National,14.2,1.93,-42.25352112676057,107.25388601036272,,,,,,Small
TXN-0058,TGT-0276,ACQ-035,2015-01-11,2016-01-22,2015,Q1,Leveraged Buyout,Mixed,694.0,14.1,1.55,12.1,Closed,Market Consolidation|Regulatory Arbitrage,7,376,Uplift Dental Group,Dental,Pediatric Dental,National,Nonprofit,413.9,20.2,Cerberus Capital,Financial Sponsor,Diversified,National,10.2,3.21,38.235294117647065,-51.71339563862928,,,,,,Large
TXN-0257,TGT-0040,ACQ-035,2015-10-24,,2015,Q4,Bolt-on Acquisition,Leveraged,664.6,12.8,2.08,16.1,Withdrawn,Margin Improvement|Diversification,1,,Bridgepoint Benefits Group,Health Insurance,Dental Insurance,Mountain West,Physician-Owned,76.0,23.6,Cerberus Capital,Financial Sponsor,Diversified,National,16.8,4.73,-23.809523809523807,-56.02536997885835,,,,,,Large
TXN-0135,TGT-0058,ACQ-024,2015-06-24,,2015,Q2,Bolt-on Acquisition,Stock-for-Stock,34.6,15.2,4.4,6.2,Terminated,Supply Chain Integration|Diversification|Cost Synergies|Platform Build,8,,Atlas Software,Health IT,Data Analytics,Northeast,PE-Backed,224.7,12.1,Hellman & Friedman,Financial Sponsor,Diversified,National,15.5,3.74,-1.9354838709677464,17.647058823529417,,,,,,Small
TXN-0114,TGT-0231,ACQ-031,2015-07-06,,2015,Q3,Leveraged Buyout,Mixed,181.3,16.4,6.2,12.3,Terminated,High Growth|Cross-Sell Opportunity,3,,Encore Clinical Group,Physician Groups,Orthopedic Groups,Northeast,Physician-Owned,911.1,33.5,Thoma Bravo,Financial Sponsor,Technology,National,16.7,4.21,-1.796407185628747,47.268408551068894,,,,,,Mid-Market
TXN-0230,TGT-0008,ACQ-013,2016-02-05,2016-05-04,2016,Q1,Leveraged Buyout,All Cash,392.7,8.8,2.54,17.3,Closed,Supply Chain Integration|Margin Improvement|Cost Synergies|Revenue Synergies,4,89,Crest Dental Group,Dental,Oral Surgery,Northeast,Public,85.1,32.7,Evolent Health,Strategic,Health IT,National,12.4,1.56,-29.032258064516125,62.82051282051282,715.4,85.8,411.3,97.3,1775.9,Mid-Market
TXN-0071,TGT-0010,ACQ-019,2016-06-08,,2016,Q2,Recapitalization,Seller Financing,695.8,9.2,6.78,13.2,Pending,Cost Synergies|Market Consolidation|Regulatory Arbitrage|Diversification,3,,Greenfield Managed Care,Health Insurance,Dental Insurance,Mid-Atlantic,PE-Backed,376.9,28.4,R1 RCM,Strategic,Revenue Cycle,National,10.6,4.89,-13.207547169811324,38.65030674846627,2040.7,540.8,954.5,181.6,4854.2,Large
TXN-0318,TGT-0018,ACQ-006,2016-09-17,2017-10-04,2016,Q3,Merger of Equals,Seller Financing,347.1,24.0,0.8,8.1,Closed,Cost Synergies|Cross-Sell Opportunity|Margin Improvement|Market Consolidation|Diversification,5,382,Halcyon Physician Partners,Physician Groups,Primary Care Groups,Northeast,Private,73.3,8.8,Molina Healthcare,Strategic,Health Insurance,Multi-Regional,15.5,4.73,54.83870967741935,-83.08668076109937,2127.0,259.5,798.1,124.3,5895.9,Mid-Market
TXN-0059,TGT-0020,ACQ-006,2016-01-24,,2016,Q1,Carve-out,Leveraged,70.3,21.6,7.36,9.9,Terminated,High Growth|Diversification|Geographic Expansion|Brand Value|Regulatory Arbitrage,8,,Forge Revenue Solutions,Revenue Cycle,Patient Financial Services,Southeast,Nonprofit,238.6,20.6,Molina Healthcare,Strategic,Health Insurance,Multi-Regional,12.0,4.05,80.00000000000001,81.7283950617284,2127.0,259.5,798.1,124.3,5895.9,Small
TXN-0043,TGT-0031,ACQ-011,2016-10-09,,2016,Q4,SPAC Merger,Stock-for-Stock,547.5,9.4,3.53,9.1,Rumored,Margin Improvement|Brand Value|Platform Build,1,,Nexus Physician Partners,Physician Groups,Cardiology Groups,West Coast,Private,590.9,15.4,Veeva Systems,Strategic,Health IT,National,15.9,3.33,-40.880503144654085,6.006006006005998,2325.3,534.8,808.0,82.6,3163.3,Large
TXN-0302,TGT-0056,ACQ-011,2016-09-04,2016-10-23,2016,Q3,Bolt-on Acquisition,Stock-for-Stock,232.3,12.5,5.02,11.1,Closed,Vertical Integration|Supply Chain Integration,2,49,Resolute Therapeutics,Pharma/Biotech,Generic Pharma,Northeast,Public,151.3,16.8,Veeva Systems,Strategic,Health IT,National,9.5,4.3,31.57894736842105,16.744186046511622,2325.3,534.8,808.0,82.6,3163.3,Mid-Market
TXN-0419,TGT-0063,ACQ-005,2016-09-11,,2016,Q3,Management Buyout,Cash + Stock,568.6,21.5,7.26,17.6,Pending,Diversification|Supply Chain Integration|Talent Acquisition|Vertical Integration,8,,Pacific Wellness Group,Behavioral Health,Psychiatric Hospitals,Multi-Regional,Family-Owned,467.0,24.0,Tenet Healthcare,Strategic,Healthcare Services,Multi-Regional,17.2,2.57,25.000000000000007,182.49027237354085,3238.9,634.8,1536.4,423.5,5031.0,Large
TXN-0125,TGT-0064,ACQ-006,2016-10-28,,2016,Q4,Merger of Equals,All Cash,570.2,19.8,7.82,13.4,Terminated,Talent Acquisition|High Growth|Geographic Expansion|Cost Synergies|Diversification,3,,Quest Dental Care,Dental,DSO (Dental Support Org),Southwest,Family-Owned,93.8,31.0,Molina Healthcare,Strategic,Health Insurance,Multi-Regional,13.2,4.82,50.000000000000014,62.24066390041494,2127.0,259.5,798.1,124.3,5895.9,Large
TXN-0198,TGT-0069,ACQ-002,2016-02-18,2016-05-12,2016,Q1,Bolt-on Acquisition,Stock-for-Stock,778.1,13.3,5.69,5.6,Closed,Supply Chain Integration|Margin Improvement|Technology Capability|Vertical Integration|Regulatory Arbitrage,2,84,Integrity Behavioral Health,Behavioral Health,Mental Health Clinics,West Coast,Nonprofit,315.8,10.7,CVS Health,Strategic,Healthcare Services,National,13.2,2.7,0.7575757575757683,110.74074074074073,12438.0,3159.3,1666.7,1519.5,30852.8,Large
TXN-0083,TGT-0080,ACQ-007,2016-02-05,2016-11-28,2016,Q1,Recapitalization,Seller Financing,614.9,16.3,1.1,11.2,Closed,Margin Improvement|Cost Synergies|Supply Chain Integration|Talent Acquisition,6,297,Horizon Benefits Group,Health Insurance,Supplemental Insurance,National,Private,360.2,19.9,Amedisys,Strategic,Home Health/Hospice,National,11.3,2.15,44.24778761061947,-48.837209302325576,1851.7,542.5,440.9,251.9,2633.6,Large
