transaction_id,target_id,acquirer_id,announce_date,close_date,deal_year,deal_quarter,deal_type,financing_type,deal_size_mm,ev_ebitda_multiple,ev_revenue_multiple,synergy_pct_of_deal,outcome,strategic_rationale_tags,num_bidders,days_to_close
TXN-0013,TGT-0073,ACQ-008,2023-08-22,,2023,Q3,Bolt-on Acquisition,Leveraged,475.0,12.4,3.12,19.6,Withdrawn,Regulatory Arbitrage|Diversification|Cost Synergies|Market Consolidation|Talent Acquisition,7,
TXN-0014,TGT-0090,ACQ-025,2019-07-05,2019-11-20,2019,Q3,Carve-out,Cash + Stock,759.8,24.0,3.62,19.9,Closed,Brand Value|Supply Chain Integration|Cross-Sell Opportunity|Technology Capability,1,138
TXN-0015,TGT-0170,ACQ-005,2018-07-01,2018-12-28,2018,Q3,Merger of Equals,Cash + Stock,660.0,18.7,6.05,8.7,Closed,Technology Capability|Market Consolidation|Platform Build,1,180
TXN-0016,TGT-0025,ACQ-025,2022-11-09,,2022,Q4,Carve-out,Stock-for-Stock,707.2,12.7,3.5,17.1,Pending,Margin Improvement|Platform Build|Supply Chain Integration,4,
TXN-0017,TGT-0054,ACQ-005,2020-04-07,2020-06-06,2020,Q2,Minority Investment,Cash + Stock,444.4,23.1,1.47,13.1,Closed,Regulatory Arbitrage|Cost Synergies|Cross-Sell Opportunity|High Growth|Revenue Synergies,8,60
TXN-0018,TGT-0210,ACQ-036,2023-09-16,2024-05-02,2023,Q3,Platform Investment,Leveraged,90.3,13.5,4.76,11.3,Closed,High Growth|Platform Build,1,229
TXN-0019,TGT-0103,ACQ-007,2015-05-06,2016-02-25,2015,Q2,Carve-out,Mixed,782.0,15.0,1.63,16.3,Closed,Platform Build|Regulatory Arbitrage|Talent Acquisition|High Growth,8,295
TXN-0020,TGT-0229,ACQ-003,2019-11-27,2020-02-23,2019,Q4,Recapitalization,Leveraged,672.1,16.7,1.89,14.8,Closed,Supply Chain Integration|Talent Acquisition|High Growth|Cross-Sell Opportunity,2,88
TXN-0021,TGT-0268,ACQ-027,2023-10-05,,2023,Q4,SPAC Merger,Cash + Stock,249.6,13.5,6.95,3.6,Pending,Supply Chain Integration|Margin Improvement,3,
TXN-0022,TGT-0022,ACQ-028,2016-12-20,2017-03-19,2016,Q4,Leveraged Buyout,Mixed,669.8,10.9,7.36,18.5,Closed,Talent Acquisition|High Growth|Brand Value|Diversification|Vertical Integration,2,89
TXN-0023,TGT-0268,ACQ-027,2016-11-19,,2016,Q4,Carve-out,Cash + Stock,476.5,20.4,7.57,18.7,Rumored,Revenue Synergies|Talent Acquisition|Diversification|High Growth,2,
TXN-0024,TGT-0243,ACQ-003,2017-07-27,,2017,Q3,Minority Investment,Cash + Stock,492.8,19.2,1.08,18.1,Rumored,Geographic Expansion|Market Consolidation|Margin Improvement,6,
TXN-0025,TGT-0156,ACQ-020,2019-11-25,2020-11-13,2019,Q4,Bolt-on Acquisition,Cash + Stock,250.9,20.1,6.37,8.5,Closed,Technology Capability|Margin Improvement,7,354
TXN-0026,TGT-0265,ACQ-024,2015-04-02,,2015,Q2,Bolt-on Acquisition,Leveraged,331.7,20.8,4.57,12.7,Terminated,Brand Value|Revenue Synergies|Technology Capability,3,
TXN-0027,TGT-0185,ACQ-013,2019-08-27,,2019,Q3,Recapitalization,Seller Financing,513.8,8.4,1.02,9.3,Withdrawn,Revenue Synergies|Margin Improvement|Cross-Sell Opportunity,8,
TXN-0028,TGT-0133,ACQ-006,2019-03-16,2020-04-10,2019,Q1,Minority Investment,All Cash,685.2,20.8,2.34,6.8,Closed,Vertical Integration|Regulatory Arbitrage|High Growth,4,391
TXN-0029,TGT-0068,ACQ-012,2024-02-27,,2024,Q1,Leveraged Buyout,Leveraged,647.0,11.8,7.76,13.9,Rumored,Revenue Synergies|Diversification|Margin Improvement|Vertical Integration|Technology Capability,7,
TXN-0030,TGT-0204,ACQ-038,2016-02-10,2016-04-27,2016,Q1,Management Buyout,Mixed,455.7,17.3,2.84,14.6,Closed,Vertical Integration|Regulatory Arbitrage|Diversification|Brand Value,8,77
TXN-0031,TGT-0097,ACQ-010,2023-04-19,,2023,Q2,Strategic Acquisition,Seller Financing,533.5,18.9,5.99,14.1,Withdrawn,Brand Value|High Growth|Revenue Synergies|Supply Chain Integration,5,
TXN-0032,TGT-0098,ACQ-022,2018-11-21,2019-09-03,2018,Q4,Merger of Equals,Seller Financing,678.7,22.0,7.11,6.1,Closed,Market Consolidation|Vertical Integration|Brand Value,2,286
TXN-0033,TGT-0046,ACQ-015,2020-04-17,2021-04-21,2020,Q2,Platform Investment,Stock-for-Stock,306.8,17.1,4.14,5.0,Closed,Margin Improvement|Technology Capability,1,369
TXN-0034,TGT-0153,ACQ-027,2015-04-02,2015-08-17,2015,Q2,Carve-out,Cash + Stock,336.2,16.8,7.33,10.8,Closed,Margin Improvement|Diversification,6,137
TXN-0035,TGT-0003,ACQ-029,2019-06-11,2020-02-17,2019,Q2,Carve-out,Seller Financing,399.3,20.5,1.43,13.4,Closed,Margin Improvement|High Growth|Geographic Expansion|Supply Chain Integration|Talent Acquisition,7,251
TXN-0036,TGT-0272,ACQ-013,2015-03-22,2015-05-29,2015,Q1,Leveraged Buyout,Cash + Stock,260.0,8.0,4.42,8.2,Closed,Vertical Integration|Margin Improvement|Market Consolidation|Talent Acquisition,2,68
TXN-0037,TGT-0069,ACQ-022,2022-08-09,,2022,Q3,Leveraged Buyout,Cash + Stock,30.0,10.3,7.89,6.6,Withdrawn,Platform Build|Diversification|Market Consolidation,1,
TXN-0038,TGT-0274,ACQ-040,2015-03-22,2016-01-03,2015,Q1,Bolt-on Acquisition,Mixed,52.9,8.2,4.0,5.1,Closed,Technology Capability|Market Consolidation|Regulatory Arbitrage,5,287
TXN-0039,TGT-0052,ACQ-034,2019-05-10,,2019,Q2,Minority Investment,All Cash,579.2,8.2,1.62,4.8,Terminated,Supply Chain Integration|Vertical Integration|Talent Acquisition,4,
TXN-0040,TGT-0083,ACQ-003,2023-10-09,,2023,Q4,Leveraged Buyout,Mixed,274.5,6.1,5.64,18.4,Pending,Platform Build|Supply Chain Integration|Talent Acquisition,8,
TXN-0041,TGT-0119,ACQ-030,2019-07-21,2020-04-09,2019,Q3,Recapitalization,All Cash,653.3,22.6,6.94,9.1,Closed,Platform Build|Revenue Synergies,6,263
TXN-0042,TGT-0088,ACQ-022,2020-12-24,2021-06-26,2020,Q4,SPAC Merger,Leveraged,307.5,12.5,1.62,9.8,Closed,Market Consolidation|Revenue Synergies|Margin Improvement|High Growth|Regulatory Arbitrage,8,184
TXN-0043,TGT-0031,ACQ-011,2016-10-09,,2016,Q4,SPAC Merger,Stock-for-Stock,547.5,9.4,3.53,9.1,Rumored,Margin Improvement|Brand Value|Platform Build,1,
TXN-0044,TGT-0161,ACQ-001,2023-06-01,,2023,Q2,Merger of Equals,Seller Financing,555.3,17.7,3.92,15.4,Terminated,Regulatory Arbitrage|Brand Value|Revenue Synergies|High Growth,8,
TXN-0045,TGT-0081,ACQ-033,2022-11-15,,2022,Q4,Carve-out,All Cash,266.7,12.3,2.8,11.6,Pending,Revenue Synergies|Technology Capability|Platform Build|Margin Improvement|Market Consolidation,7,
TXN-0046,TGT-0162,ACQ-008,2022-02-28,,2022,Q1,Bolt-on Acquisition,Stock-for-Stock,43.1,16.4,6.75,16.5,Withdrawn,Regulatory Arbitrage|Brand Value|Margin Improvement,5,
TXN-0047,TGT-0233,ACQ-022,2023-12-24,,2023,Q4,Merger of Equals,Mixed,104.5,20.4,2.4,8.8,Pending,Market Consolidation|Platform Build|Geographic Expansion|Cost Synergies,5,
TXN-0048,TGT-0210,ACQ-007,2019-06-15,,2019,Q2,Leveraged Buyout,All Cash,184.2,21.7,2.17,8.7,Withdrawn,Brand Value|Regulatory Arbitrage,7,
TXN-0049,TGT-0259,ACQ-009,2022-01-20,2023-02-23,2022,Q1,Management Buyout,Mixed,449.3,14.2,5.01,18.7,Closed,Market Consolidation|Revenue Synergies|Cost Synergies,3,399
TXN-0050,TGT-0165,ACQ-033,2021-12-24,2022-04-18,2021,Q4,SPAC Merger,Mixed,229.8,24.3,7.79,10.7,Closed,Cross-Sell Opportunity|Market Consolidation|Revenue Synergies|Talent Acquisition|Vertical Integration,3,115
TXN-0051,TGT-0284,ACQ-014,2018-05-22,2019-03-20,2018,Q2,SPAC Merger,Mixed,554.0,23.5,1.76,15.1,Closed,Market Consolidation|Platform Build|Supply Chain Integration|Diversification,3,302
TXN-0052,TGT-0214,ACQ-035,2019-10-12,2020-04-20,2019,Q4,Strategic Acquisition,Seller Financing,34.8,8.8,5.63,6.4,Closed,Cost Synergies|Revenue Synergies|Geographic Expansion|Market Consolidation,3,191
TXN-0053,TGT-0232,ACQ-007,2024-04-07,2024-12-03,2024,Q2,Management Buyout,Stock-for-Stock,416.1,21.1,5.81,14.8,Closed,High Growth|Supply Chain Integration|Regulatory Arbitrage|Diversification|Talent Acquisition,1,240
TXN-0054,TGT-0227,ACQ-015,2020-04-01,,2020,Q2,Leveraged Buyout,Leveraged,154.3,19.0,2.15,6.0,Pending,Geographic Expansion|High Growth|Vertical Integration|Talent Acquisition|Supply Chain Integration,2,
TXN-0055,TGT-0170,ACQ-030,2017-03-03,,2017,Q1,Carve-out,Leveraged,54.9,23.7,5.23,14.3,Rumored,Platform Build|Supply Chain Integration|Market Consolidation|Diversification,8,
TXN-0056,TGT-0259,ACQ-011,2021-12-20,2022-11-17,2021,Q4,Bolt-on Acquisition,Leveraged,708.5,18.6,3.18,8.0,Closed,Platform Build|Regulatory Arbitrage,8,332
TXN-0057,TGT-0125,ACQ-003,2020-10-06,2021-08-10,2020,Q4,Bolt-on Acquisition,Stock-for-Stock,439.1,11.4,7.36,17.0,Closed,Margin Improvement|Geographic Expansion|Vertical Integration|Regulatory Arbitrage|Technology Capability,6,308
TXN-0058,TGT-0276,ACQ-035,2015-01-11,2016-01-22,2015,Q1,Leveraged Buyout,Mixed,694.0,14.1,1.55,12.1,Closed,Market Consolidation|Regulatory Arbitrage,7,376
TXN-0059,TGT-0020,ACQ-006,2016-01-24,,2016,Q1,Carve-out,Leveraged,70.3,21.6,7.36,9.9,Terminated,High Growth|Diversification|Geographic Expansion|Brand Value|Regulatory Arbitrage,8,
TXN-0060,TGT-0033,ACQ-038,2015-03-13,2015-11-08,2015,Q1,Merger of Equals,Seller Financing,242.5,19.0,5.17,7.8,Closed,Revenue Synergies|Regulatory Arbitrage|Geographic Expansion|Margin Improvement|Cost Synergies,8,240
TXN-0061,TGT-0280,ACQ-019,2017-09-07,,2017,Q3,Merger of Equals,All Cash,701.7,8.7,1.1,12.7,Terminated,Vertical Integration|Technology Capability,7,
TXN-0062,TGT-0212,ACQ-033,2017-05-24,,2017,Q2,Carve-out,Cash + Stock,670.3,9.7,2.11,16.6,Rumored,Regulatory Arbitrage|Talent Acquisition|Platform Build|Vertical Integration|Brand Value,1,
TXN-0063,TGT-0298,ACQ-032,2020-08-06,2021-03-07,2020,Q3,Carve-out,Mixed,93.5,17.8,7.28,8.4,Closed,Market Consolidation|Cross-Sell Opportunity|Cost Synergies|Revenue Synergies,8,213
TXN-0064,TGT-0003,ACQ-021,2018-05-07,2018-11-24,2018,Q2,Minority Investment,Leveraged,120.4,19.9,7.12,10.9,Closed,Talent Acquisition|Platform Build|Cost Synergies|Regulatory Arbitrage|Cross-Sell Opportunity,6,201
TXN-0065,TGT-0135,ACQ-005,2016-01-25,2016-12-17,2016,Q1,Management Buyout,Mixed,652.9,17.0,6.34,6.6,Closed,Talent Acquisition|Brand Value|Margin Improvement|Regulatory Arbitrage,1,327
TXN-0066,TGT-0149,ACQ-009,2022-03-24,,2022,Q1,Minority Investment,Leveraged,23.3,10.5,7.74,19.7,Terminated,Margin Improvement|Cost Synergies|Revenue Synergies,3,
TXN-0067,TGT-0248,ACQ-023,2015-04-21,2015-12-20,2015,Q2,Recapitalization,Cash + Stock,222.5,10.4,5.61,11.8,Closed,Brand Value|Margin Improvement|Geographic Expansion|Supply Chain Integration|Regulatory Arbitrage,6,243
TXN-0068,TGT-0141,ACQ-017,2024-05-01,,2024,Q2,Minority Investment,Mixed,301.8,18.4,6.82,11.8,Withdrawn,Talent Acquisition|High Growth|Diversification,7,
TXN-0069,TGT-0257,ACQ-009,2022-04-16,,2022,Q2,Leveraged Buyout,All Cash,520.1,10.0,2.15,9.2,Terminated,High Growth|Supply Chain Integration|Diversification,2,
TXN-0070,TGT-0246,ACQ-014,2024-06-19,2025-05-23,2024,Q2,Minority Investment,All Cash,48.9,16.9,1.96,13.7,Closed,Geographic Expansion|Cost Synergies|Vertical Integration,1,338
TXN-0071,TGT-0010,ACQ-019,2016-06-08,,2016,Q2,Recapitalization,Seller Financing,695.8,9.2,6.78,13.2,Pending,Cost Synergies|Market Consolidation|Regulatory Arbitrage|Diversification,3,
TXN-0072,TGT-0194,ACQ-025,2017-01-03,,2017,Q1,Strategic Acquisition,Cash + Stock,689.8,15.6,3.82,5.5,Terminated,Margin Improvement|Cross-Sell Opportunity|Revenue Synergies,2,
TXN-0073,TGT-0247,ACQ-009,2024-01-16,,2024,Q1,Minority Investment,Seller Financing,305.7,6.8,4.61,6.9,Withdrawn,Diversification|Cross-Sell Opportunity|Supply Chain Integration|Market Consolidation|Revenue Synergies,8,
TXN-0074,TGT-0120,ACQ-006,2019-10-14,2020-06-07,2019,Q4,Platform Investment,Cash + Stock,571.7,21.0,4.96,5.0,Closed,Market Consolidation|Supply Chain Integration|Diversification,1,237
TXN-0075,TGT-0300,ACQ-017,2019-12-12,,2019,Q4,SPAC Merger,Leveraged,231.3,18.9,6.24,10.0,Rumored,Diversification|Talent Acquisition|Revenue Synergies,8,
TXN-0076,TGT-0204,ACQ-009,2016-06-03,2016-10-08,2016,Q2,Recapitalization,Mixed,93.7,15.7,6.46,16.6,Closed,Regulatory Arbitrage|Geographic Expansion|Supply Chain Integration|Platform Build|Cost Synergies,1,127
TXN-0077,TGT-0135,ACQ-015,2020-01-10,,2020,Q1,SPAC Merger,All Cash,745.6,13.6,5.52,7.9,Withdrawn,Regulatory Arbitrage|Margin Improvement|Revenue Synergies,1,
TXN-0078,TGT-0100,ACQ-003,2024-06-23,2025-02-27,2024,Q2,SPAC Merger,Cash + Stock,297.4,18.4,7.82,4.5,Closed,Regulatory Arbitrage|High Growth|Revenue Synergies|Cross-Sell Opportunity,5,249
TXN-0079,TGT-0036,ACQ-006,2023-07-03,2024-03-10,2023,Q3,Management Buyout,Seller Financing,287.8,21.5,2.43,19.4,Closed,Vertical Integration|Cost Synergies,8,251
TXN-0080,TGT-0258,ACQ-019,2020-02-28,,2020,Q1,Management Buyout,Leveraged,653.3,16.9,5.8,19.4,Terminated,Supply Chain Integration|Diversification|Brand Value,8,
TXN-0081,TGT-0015,ACQ-031,2016-08-18,2017-02-13,2016,Q3,Bolt-on Acquisition,Stock-for-Stock,546.4,10.4,3.07,19.2,Closed,Vertical Integration|Platform Build|High Growth,1,179
TXN-0082,TGT-0092,ACQ-031,2020-07-12,2020-12-24,2020,Q3,Leveraged Buyout,Seller Financing,158.5,20.2,7.5,6.2,Closed,Revenue Synergies|Vertical Integration|Technology Capability,4,165
TXN-0083,TGT-0080,ACQ-007,2016-02-05,2016-11-28,2016,Q1,Recapitalization,Seller Financing,614.9,16.3,1.1,11.2,Closed,Margin Improvement|Cost Synergies|Supply Chain Integration|Talent Acquisition,6,297
TXN-0084,TGT-0028,ACQ-034,2021-10-11,,2021,Q4,Management Buyout,All Cash,287.6,22.3,6.39,10.8,Terminated,Diversification|Market Consolidation|Geographic Expansion|Supply Chain Integration|Regulatory Arbitrage,2,
TXN-0085,TGT-0186,ACQ-040,2019-05-05,2019-10-04,2019,Q2,Management Buyout,Leveraged,226.5,24.2,3.27,6.1,Closed,Market Consolidation|Supply Chain Integration|Diversification|Revenue Synergies|High Growth,7,152
TXN-0086,TGT-0295,ACQ-015,2016-09-18,,2016,Q3,Leveraged Buyout,Seller Financing,687.2,9.7,6.56,15.6,Withdrawn,Cost Synergies|High Growth,8,
TXN-0087,TGT-0162,ACQ-032,2019-08-18,2020-08-19,2019,Q3,Management Buyout,Seller Financing,327.7,19.1,1.23,16.8,Closed,Margin Improvement|Market Consolidation,8,367
TXN-0088,TGT-0286,ACQ-017,2020-03-20,2020-09-26,2020,Q1,Minority Investment,All Cash,695.9,24.3,2.23,12.8,Closed,Diversification|Regulatory Arbitrage|Talent Acquisition|Margin Improvement,3,190
TXN-0089,TGT-0147,ACQ-030,2017-06-09,,2017,Q2,Merger of Equals,Stock-for-Stock,463.7,22.1,1.31,5.8,Rumored,Diversification|Regulatory Arbitrage|Vertical Integration|Market Consolidation,4,
TXN-0090,TGT-0228,ACQ-024,2024-10-01,2025-03-02,2024,Q4,Minority Investment,Cash + Stock,685.6,8.4,2.49,7.3,Closed,High Growth|Platform Build|Revenue Synergies,2,152
TXN-0091,TGT-0204,ACQ-034,2016-01-28,2016-10-25,2016,Q1,Platform Investment,Seller Financing,81.2,23.7,3.61,6.9,Closed,Cost Synergies|Talent Acquisition|Brand Value,5,271
TXN-0092,TGT-0167,ACQ-031,2022-08-12,2023-06-21,2022,Q3,Management Buyout,Stock-for-Stock,776.1,19.3,2.07,13.2,Closed,Brand Value|Diversification|Margin Improvement|Talent Acquisition,7,313
TXN-0093,TGT-0212,ACQ-017,2017-07-18,,2017,Q3,Strategic Acquisition,All Cash,655.1,22.1,3.28,11.0,Terminated,Supply Chain Integration|Margin Improvement|Vertical Integration|Geographic Expansion|High Growth,1,
TXN-0094,TGT-0192,ACQ-013,2021-11-10,2022-07-29,2021,Q4,Minority Investment,Cash + Stock,576.2,18.3,6.76,6.8,Closed,Talent Acquisition|Supply Chain Integration|Revenue Synergies,2,261
TXN-0095,TGT-0273,ACQ-018,2021-04-09,2021-08-28,2021,Q2,Bolt-on Acquisition,Cash + Stock,242.3,18.1,5.25,7.6,Closed,Geographic Expansion|Cost Synergies|Brand Value|Talent Acquisition,8,141
TXN-0096,TGT-0065,ACQ-029,2015-04-03,2016-01-10,2015,Q2,Bolt-on Acquisition,Cash + Stock,402.5,12.5,3.04,16.6,Closed,Diversification|Platform Build,6,282
TXN-0097,TGT-0279,ACQ-031,2017-04-07,2017-09-25,2017,Q2,Platform Investment,Stock-for-Stock,110.7,20.6,2.59,16.1,Closed,Technology Capability|Margin Improvement,8,171
TXN-0098,TGT-0243,ACQ-025,2019-09-11,2020-02-04,2019,Q3,Carve-out,Mixed,599.6,16.4,1.68,11.2,Closed,Brand Value|Geographic Expansion|Regulatory Arbitrage|Technology Capability,5,146
TXN-0099,TGT-0008,ACQ-011,2019-02-11,2019-10-04,2019,Q1,Minority Investment,Cash + Stock,775.5,17.0,5.77,14.7,Closed,Technology Capability|Cost Synergies,3,235
TXN-0100,TGT-0031,ACQ-004,2020-06-02,2021-02-26,2020,Q2,Management Buyout,All Cash,398.0,12.0,4.82,14.0,Closed,Geographic Expansion|Market Consolidation|High Growth,6,269
TXN-0101,TGT-0249,ACQ-029,2023-08-12,,2023,Q3,Management Buyout,Mixed,164.0,9.5,3.3,15.5,Pending,Platform Build|Talent Acquisition|Cost Synergies,5,
TXN-0102,TGT-0233,ACQ-001,2023-11-11,,2023,Q4,Carve-out,All Cash,687.6,20.7,2.52,15.3,Rumored,Talent Acquisition|Regulatory Arbitrage|Margin Improvement,7,
TXN-0103,TGT-0210,ACQ-021,2016-03-17,2017-01-04,2016,Q1,Management Buyout,Mixed,49.4,23.8,2.09,3.5,Closed,Platform Build|Geographic Expansion|Cross-Sell Opportunity,2,293
TXN-0104,TGT-0132,ACQ-004,2020-05-02,2021-02-10,2020,Q2,SPAC Merger,Mixed,25.3,23.5,5.52,18.8,Closed,Diversification|Talent Acquisition,2,284
TXN-0105,TGT-0137,ACQ-034,2015-03-24,2015-08-14,2015,Q1,Platform Investment,All Cash,769.1,7.8,6.02,12.0,Closed,Cross-Sell Opportunity|Regulatory Arbitrage|Cost Synergies,4,143
TXN-0106,TGT-0055,ACQ-037,2020-11-20,2021-07-03,2020,Q4,Minority Investment,All Cash,637.1,16.4,4.43,14.2,Closed,Talent Acquisition|Diversification|Revenue Synergies|High Growth,8,225
TXN-0107,TGT-0124,ACQ-037,2023-04-07,2023-10-14,2023,Q2,Minority Investment,Seller Financing,297.6,14.6,7.71,3.0,Closed,Talent Acquisition|Cost Synergies,1,190
TXN-0108,TGT-0162,ACQ-002,2019-06-03,,2019,Q2,Bolt-on Acquisition,All Cash,294.2,8.6,3.44,12.9,Pending,Supply Chain Integration|Vertical Integration|Platform Build|Cross-Sell Opportunity,4,
TXN-0109,TGT-0167,ACQ-031,2017-12-28,,2017,Q4,SPAC Merger,All Cash,519.2,6.7,6.62,9.5,Rumored,Diversification|Revenue Synergies|High Growth|Supply Chain Integration,1,
TXN-0110,TGT-0006,ACQ-025,2015-08-26,2016-09-18,2015,Q3,Management Buyout,All Cash,438.8,8.8,4.42,6.8,Closed,Margin Improvement|Supply Chain Integration|Cross-Sell Opportunity|Revenue Synergies|Talent Acquisition,1,389
TXN-0111,TGT-0202,ACQ-010,2017-08-21,,2017,Q3,Bolt-on Acquisition,Stock-for-Stock,600.1,16.4,2.69,9.8,Rumored,Supply Chain Integration|Cost Synergies|Margin Improvement,7,
TXN-0112,TGT-0293,ACQ-013,2023-06-06,2024-02-22,2023,Q2,Leveraged Buyout,All Cash,624.8,12.1,7.45,4.5,Closed,Diversification|Technology Capability|Brand Value|Supply Chain Integration,7,261
TXN-0113,TGT-0180,ACQ-040,2022-05-10,2022-07-21,2022,Q2,Recapitalization,All Cash,171.8,13.1,6.26,17.5,Closed,Cross-Sell Opportunity|Cost Synergies|Vertical Integration,2,72
TXN-0114,TGT-0231,ACQ-031,2015-07-06,,2015,Q3,Leveraged Buyout,Mixed,181.3,16.4,6.2,12.3,Terminated,High Growth|Cross-Sell Opportunity,3,
TXN-0115,TGT-0031,ACQ-019,2018-07-17,2018-10-25,2018,Q3,Strategic Acquisition,Stock-for-Stock,67.3,18.5,5.57,18.5,Closed,Vertical Integration|Revenue Synergies,6,100
TXN-0116,TGT-0051,ACQ-021,2022-01-12,,2022,Q1,Carve-out,Cash + Stock,773.9,16.7,5.93,3.7,Terminated,Margin Improvement|High Growth|Market Consolidation|Cost Synergies,5,
TXN-0117,TGT-0155,ACQ-016,2023-09-17,2024-02-24,2023,Q3,Strategic Acquisition,Mixed,704.8,22.9,6.67,3.5,Closed,Diversification|High Growth|Regulatory Arbitrage,5,160
TXN-0118,TGT-0117,ACQ-027,2018-04-21,,2018,Q2,Minority Investment,Leveraged,273.5,16.3,2.29,5.4,Rumored,Vertical Integration|Market Consolidation|Revenue Synergies,4,
TXN-0119,TGT-0290,ACQ-011,2020-01-06,2020-09-18,2020,Q1,Management Buyout,Seller Financing,159.5,22.0,1.85,3.5,Closed,Vertical Integration|Margin Improvement|Market Consolidation|Regulatory Arbitrage|Brand Value,6,256
TXN-0120,TGT-0014,ACQ-040,2024-09-06,,2024,Q3,SPAC Merger,Seller Financing,196.3,10.4,5.75,9.1,Rumored,Talent Acquisition|Revenue Synergies|Cross-Sell Opportunity,8,
TXN-0121,TGT-0199,ACQ-032,2022-05-23,2022-10-28,2022,Q2,Carve-out,Cash + Stock,40.3,20.5,0.91,7.6,Closed,Supply Chain Integration|Technology Capability|Platform Build,7,158
TXN-0122,TGT-0167,ACQ-030,2018-12-13,,2018,Q4,Minority Investment,All Cash,592.2,13.2,3.05,13.4,Rumored,Margin Improvement|Brand Value,1,
TXN-0123,TGT-0021,ACQ-036,2021-01-03,,2021,Q1,Leveraged Buyout,Leveraged,327.5,11.8,6.76,10.8,Pending,Cross-Sell Opportunity|Geographic Expansion|Market Consolidation|Talent Acquisition,7,
TXN-0124,TGT-0257,ACQ-008,2017-06-23,2018-03-27,2017,Q2,Minority Investment,Stock-for-Stock,368.9,9.4,5.05,15.1,Closed,Vertical Integration|Diversification,4,277
TXN-0125,TGT-0064,ACQ-006,2016-10-28,,2016,Q4,Merger of Equals,All Cash,570.2,19.8,7.82,13.4,Terminated,Talent Acquisition|High Growth|Geographic Expansion|Cost Synergies|Diversification,3,
TXN-0126,TGT-0075,ACQ-012,2015-11-08,,2015,Q4,Platform Investment,Leveraged,241.7,9.4,7.27,19.3,Pending,Geographic Expansion|Margin Improvement|Revenue Synergies|Supply Chain Integration,1,
TXN-0127,TGT-0112,ACQ-038,2022-10-22,2022-12-31,2022,Q4,Minority Investment,Stock-for-Stock,487.0,6.1,7.15,7.7,Closed,Cost Synergies|Geographic Expansion|Regulatory Arbitrage,4,70
TXN-0128,TGT-0296,ACQ-039,2019-08-25,2020-05-29,2019,Q3,Bolt-on Acquisition,All Cash,342.3,9.4,5.64,13.4,Closed,Brand Value|Geographic Expansion|Platform Build|Vertical Integration,3,278
