target_id,target_name,sector,sub_sector,geography,ownership_type,founded_date,employee_count,ltm_revenue_mm,ebitda_margin_pct,revenue_growth_pct
TGT-0063,Pacific Wellness Group,Behavioral Health,Psychiatric Hospitals,Multi-Regional,Family-Owned,2014-01-01,3618,467.0,24.0,6.3
TGT-0064,Quest Dental Care,Dental,DSO (Dental Support Org),Southwest,Family-Owned,2009-01-01,2805,93.8,31.0,1.4
TGT-0065,Onyx Smile Partners,Dental,Oral Surgery,West Coast,Physician-Owned,2002-01-01,4603,143.7,33.6,-2.0
TGT-0066,Daybreak Therapeutics,Pharma/Biotech,CDMO,Great Plains,Nonprofit,2016-01-01,3721,465.7,10.5,2.8
TGT-0067,Greenfield Smile Partners,Dental,Oral Surgery,Great Plains,Physician-Owned,2018-01-01,2866,232.3,28.1,6.6
TGT-0068,Unity Billing Solutions,Revenue Cycle,Claims Management,Southwest,Private,1997-01-01,2634,116.8,22.5,21.7
TGT-0069,Integrity Behavioral Health,Behavioral Health,Mental Health Clinics,West Coast,Nonprofit,2018-01-01,4938,315.8,10.7,1.8
TGT-0070,Delta Smile Partners,Dental,Oral Surgery,Northeast,Nonprofit,1993-01-01,2297,81.5,9.5,5.2
TGT-0071,Nexus Behavioral,Behavioral Health,Eating Disorder Treatment,National,Public,2015-01-01,3971,329.0,13.0,-3.2
TGT-0072,Eclipse Financial Services,Revenue Cycle,Coding Services,Great Plains,Private,1988-01-01,1292,61.9,23.2,5.6
TGT-0073,Daybreak Dental Care,Dental,DSO (Dental Support Org),National,Physician-Owned,1999-01-01,6404,593.7,20.2,10.5
TGT-0074,Unity Health Coverage,Health Insurance,Dental Insurance,National,Private,1991-01-01,7812,949.4,24.9,4.3
TGT-0075,Landmark Health Data,Health IT,Revenue Cycle Tech,Multi-Regional,Private,1995-01-01,71,5.6,26.6,11.4
TGT-0076,Ridgeline Care Partners,Healthcare Services,Urgent Care,West Coast,Nonprofit,2014-01-01,633,71.2,32.9,22.6
TGT-0077,Latitude Health Plans,Health Insurance,Medicare Advantage,Multi-Regional,PE-Backed,1994-01-01,7491,463.5,11.8,-2.9
TGT-0078,Equinox Home Care,Home Health/Hospice,Personal Care,Great Plains,Private,2014-01-01,5691,378.4,18.9,4.5
TGT-0079,Navigator Medical Associates,Physician Groups,Orthopedic Groups,National,Private,2012-01-01,6067,416.7,14.8,-1.8
TGT-0080,Horizon Benefits Group,Health Insurance,Supplemental Insurance,National,Private,1996-01-01,3904,360.2,19.9,4.7
TGT-0081,Uplift Health Plans,Health Insurance,Dental Insurance,Great Plains,Public,2011-01-01,2780,190.5,10.8,0.6
TGT-0082,Ridgeline Life Sciences,Pharma/Biotech,CDMO,Multi-Regional,Private,2014-01-01,771,52.2,16.7,29.0
TGT-0083,Pinnacle Biosciences,Pharma/Biotech,Drug Delivery,Great Plains,Family-Owned,1988-01-01,1586,146.2,24.8,12.4
TGT-0084,Haven Billing Solutions,Revenue Cycle,Coding Services,Multi-Regional,PE-Backed,2003-01-01,3639,493.8,21.1,-4.0
TGT-0085,Alpine Benefits Group,Health Insurance,Medicare Advantage,Multi-Regional,Private,2011-01-01,813,46.3,30.7,-1.0
TGT-0086,Vanguard Health Analytics,Health IT,Data Analytics,West Coast,Physician-Owned,2002-01-01,3453,449.5,34.5,3.5
TGT-0087,Granite Physician Partners,Physician Groups,Primary Care Groups,National,Physician-Owned,1993-01-01,7128,273.6,28.9,24.9
TGT-0088,Pacific Medical Devices,Medical Devices,Wound Care,West Coast,Nonprofit,2004-01-01,6910,694.0,35.0,12.1
TGT-0089,Acumen Behavioral Health,Behavioral Health,Eating Disorder Treatment,Mid-Atlantic,Public,2009-01-01,3780,536.5,31.5,29.3
TGT-0090,Granite Dental Group,Dental,General Dentistry,Mountain West,Private,2005-01-01,6150,533.6,32.7,8.3
TGT-0091,Apex Mental Wellness,Behavioral Health,Eating Disorder Treatment,Multi-Regional,Physician-Owned,2006-01-01,7174,301.6,30.8,-1.5
TGT-0092,Titan Financial Services,Revenue Cycle,Coding Services,Midwest,Private,2015-01-01,6452,944.0,17.1,19.2
TGT-0093,Acumen Health Analytics,Health IT,Telehealth,Mid-Atlantic,Nonprofit,2016-01-01,7196,683.1,24.7,3.2
TGT-0094,Keystone Care at Home,Home Health/Hospice,Hospice,Southeast,Nonprofit,1991-01-01,3684,184.1,16.1,-4.0
TGT-0095,Sterling MedTech,Medical Devices,Surgical Instruments,Mid-Atlantic,Family-Owned,1994-01-01,2050,192.2,23.3,22.7
TGT-0096,Harbor Wellness Group,Behavioral Health,Mental Health Clinics,Mountain West,Physician-Owned,2000-01-01,4126,575.7,11.9,11.1
TGT-0097,Noble Home Health,Home Health/Hospice,Home Infusion,Great Plains,Public,1995-01-01,655,54.4,17.3,15.6
TGT-0098,Prism Biopharma,Pharma/Biotech,Biotech Therapeutics,Southwest,Family-Owned,2015-01-01,923,54.0,23.4,15.1
TGT-0099,Highland Home Care,Home Health/Hospice,Home Health,Northeast,Physician-Owned,1988-01-01,7509,771.7,21.4,26.6
TGT-0100,Jetstream Home Care,Home Health/Hospice,Hospice,Southwest,Nonprofit,1997-01-01,5136,308.5,28.4,21.9
TGT-0101,Atlas Recovery Centers,Behavioral Health,Substance Abuse Treatment,Great Plains,Private,2008-01-01,6049,276.9,32.6,6.4
TGT-0102,Gateway Therapeutics,Pharma/Biotech,Generic Pharma,Multi-Regional,Public,2018-01-01,4160,580.8,30.4,4.0
TGT-0103,Axis Revenue Solutions,Revenue Cycle,Claims Management,Great Plains,Private,1994-01-01,6228,909.2,31.2,20.3
TGT-0104,Domain Pharma,Pharma/Biotech,Drug Delivery,Mountain West,Private,2001-01-01,4445,199.3,18.0,21.2
TGT-0105,Foundation Home Care,Home Health/Hospice,Personal Care,Southeast,Nonprofit,1999-01-01,3912,129.1,31.9,14.6
TGT-0106,Eclipse Managed Care,Health Insurance,Medicare Advantage,West Coast,Nonprofit,2011-01-01,1005,47.0,33.5,5.7
TGT-0107,Legacy RCM Services,Revenue Cycle,Coding Services,Multi-Regional,PE-Backed,2009-01-01,3766,280.6,33.6,19.4
TGT-0108,Halcyon Physician Partners,Physician Groups,Orthopedic Groups,Mountain West,Nonprofit,1991-01-01,6879,610.3,19.0,28.3
TGT-0109,Embark Healthcare,Healthcare Services,Lab Services,Great Plains,Family-Owned,2000-01-01,7057,518.8,34.5,7.9
TGT-0110,Highland MedTech,Medical Devices,Surgical Instruments,Southwest,Private,2014-01-01,800,87.6,25.3,15.9
TGT-0111,Zenith Healthcare,Healthcare Services,Ambulatory Surgery Centers,Midwest,Physician-Owned,1998-01-01,612,79.3,23.0,15.5
TGT-0112,Titan Oral Health,Dental,Oral Surgery,Northeast,Public,1994-01-01,1114,105.6,29.6,-1.2
TGT-0113,Summit Medical Group,Healthcare Services,Urgent Care,Southwest,Physician-Owned,2005-01-01,179,9.1,9.4,21.0
TGT-0114,Eclipse Specialty Medicine,Physician Groups,Multi-Specialty Groups,Great Plains,Public,2017-01-01,4913,211.7,21.6,28.1
TGT-0115,Yarrow Medical Group,Healthcare Services,Lab Services,Great Plains,Nonprofit,1986-01-01,548,82.1,30.9,9.9
TGT-0116,Navigator Technologies,Health IT,Clinical Decision Support,Southeast,Public,1994-01-01,588,26.5,24.9,15.5
TGT-0117,Ironwood Device Solutions,Medical Devices,Cardiac Devices,West Coast,Family-Owned,2017-01-01,5009,408.9,29.4,-1.0
TGT-0118,Momentum Specialty Medicine,Physician Groups,Primary Care Groups,Southwest,Family-Owned,2006-01-01,6828,576.4,19.2,-1.7
TGT-0119,Noble Biopharma,Pharma/Biotech,Biotech Therapeutics,Midwest,Nonprofit,2015-01-01,599,24.5,10.3,10.1
TGT-0120,Daybreak Medical Devices,Medical Devices,Diagnostic Equipment,National,Physician-Owned,2006-01-01,5538,247.4,17.5,18.3
TGT-0121,Ridgeline Biosciences,Pharma/Biotech,Specialty Pharma,West Coast,Public,1991-01-01,4784,434.8,12.2,11.9
TGT-0122,Daybreak Digital Health,Health IT,Telehealth,Southeast,Public,1999-01-01,6662,542.9,23.1,21.9
TGT-0123,Daybreak Health Plans,Health Insurance,Supplemental Insurance,National,Nonprofit,2002-01-01,287,14.8,27.0,5.8
TGT-0124,Pinnacle Surgical,Medical Devices,Orthopedic Devices,Midwest,Physician-Owned,2010-01-01,620,29.2,25.1,-3.9
TGT-0125,Foundation Specialty Medicine,Physician Groups,Primary Care Groups,Great Plains,Public,1995-01-01,3081,207.6,16.8,27.9
TGT-0126,Beacon Insurance Solutions,Health Insurance,Managed Care,Midwest,Physician-Owned,1988-01-01,5571,221.7,20.0,9.8
TGT-0127,Keybridge Benefits Group,Health Insurance,Dental Insurance,Southwest,Physician-Owned,1992-01-01,2877,234.7,15.6,18.7
TGT-0128,Unity Revenue Solutions,Revenue Cycle,Denial Management,Southwest,Family-Owned,1988-01-01,112,6.1,33.5,21.9
TGT-0129,Westward Home Health,Home Health/Hospice,Palliative Care,Northeast,Family-Owned,2012-01-01,1489,67.8,22.4,3.1
TGT-0130,Frontier Specialty Medicine,Physician Groups,Cardiology Groups,Northeast,Family-Owned,1986-01-01,3816,536.3,31.3,15.2
TGT-0131,Keybridge Benefits Group,Health Insurance,Dental Insurance,Southeast,Family-Owned,1986-01-01,7965,549.4,29.6,16.6
TGT-0132,Momentum Medical Devices,Medical Devices,Surgical Instruments,Southwest,Family-Owned,2010-01-01,4342,171.2,31.5,21.1
TGT-0133,Cascade Dental,Dental,Oral Surgery,Multi-Regional,Nonprofit,1992-01-01,4396,400.9,32.5,7.2
TGT-0134,Nexus Mental Wellness,Behavioral Health,Mental Health Clinics,West Coast,PE-Backed,1996-01-01,4984,240.9,28.5,-2.4
TGT-0135,Equinox Claims Solutions,Revenue Cycle,Patient Financial Services,Great Plains,Nonprofit,2005-01-01,7129,1044.5,16.5,10.4
TGT-0136,Trident Billing Solutions,Revenue Cycle,Patient Financial Services,National,Private,2007-01-01,4206,163.6,20.5,-3.7
TGT-0137,Frontier Medical Devices,Medical Devices,Orthopedic Devices,National,Physician-Owned,2017-01-01,3199,273.6,23.0,22.7
TGT-0138,Flatiron Care Partners,Healthcare Services,Specialty Clinics,Southwest,Public,2015-01-01,4157,200.0,9.7,-1.4
TGT-0139,Wellspring Surgical,Medical Devices,Surgical Instruments,Northeast,PE-Backed,2013-01-01,3649,338.9,24.5,7.7
TGT-0140,Junction Home Care,Home Health/Hospice,Home Infusion,National,Private,2006-01-01,589,41.0,23.1,8.5
TGT-0141,Vanguard Home Care,Home Health/Hospice,Personal Care,Southeast,Physician-Owned,1994-01-01,7559,544.1,34.1,19.4
TGT-0142,Ironwood Pharma,Pharma/Biotech,Generic Pharma,West Coast,Physician-Owned,2009-01-01,5321,665.1,30.0,18.5
TGT-0143,Latitude Clinical Group,Physician Groups,Multi-Specialty Groups,Mid-Atlantic,Private,2008-01-01,2580,133.2,13.8,28.2
TGT-0144,Jubilee RCM Services,Revenue Cycle,Billing Services,Midwest,Private,2003-01-01,6967,867.9,21.7,13.9
TGT-0145,Axis Clinical Group,Physician Groups,Multi-Specialty Groups,Midwest,Physician-Owned,2009-01-01,1313,65.0,30.4,22.0
TGT-0146,Atlas Behavioral Health,Behavioral Health,Eating Disorder Treatment,Mid-Atlantic,Nonprofit,2000-01-01,7992,665.8,15.7,21.2
TGT-0147,Acumen RCM Services,Revenue Cycle,Billing Services,West Coast,Family-Owned,1997-01-01,3063,341.2,23.4,10.4
TGT-0148,Wellspring Visiting Health,Home Health/Hospice,Home Infusion,Mountain West,PE-Backed,1997-01-01,6613,678.2,31.6,-3.2
TGT-0149,Continuum Revenue Solutions,Revenue Cycle,Claims Management,Multi-Regional,Private,2003-01-01,737,89.6,15.4,26.7
TGT-0150,Keystone Mental Wellness,Behavioral Health,Eating Disorder Treatment,Great Plains,Public,1986-01-01,3448,125.5,21.6,3.3
TGT-0151,Jubilee Technologies,Health IT,Telehealth,Mid-Atlantic,Private,2006-01-01,6532,310.4,9.0,27.1
TGT-0152,Sapphire Financial Services,Revenue Cycle,Billing Services,National,Private,1990-01-01,205,12.4,30.5,14.2
TGT-0153,Latitude Health Plans,Health Insurance,Supplemental Insurance,West Coast,PE-Backed,2004-01-01,1048,37.4,19.3,22.8
TGT-0154,Optima Financial Services,Revenue Cycle,Coding Services,National,Physician-Owned,1986-01-01,5226,480.0,14.5,0.0
TGT-0155,Kensington Biopharma,Pharma/Biotech,Specialty Pharma,Southwest,Physician-Owned,2011-01-01,1584,173.8,10.3,29.1
TGT-0156,Benchmark Systems,Health IT,Population Health,Multi-Regional,Physician-Owned,1986-01-01,3248,437.8,9.2,8.5
TGT-0157,Horizon MedTech,Medical Devices,Orthopedic Devices,Southeast,Public,2000-01-01,6054,659.0,10.8,15.4
TGT-0158,Atlas MedTech,Medical Devices,Diagnostic Equipment,Multi-Regional,Public,1996-01-01,6852,846.2,20.5,19.3
TGT-0159,Eclipse Behavioral Health,Behavioral Health,Mental Health Clinics,Northeast,Public,1997-01-01,408,51.0,31.9,6.0
TGT-0160,Highland Visiting Health,Home Health/Hospice,Personal Care,Great Plains,Public,1987-01-01,6220,669.4,15.7,25.2
TGT-0161,Zenith Medical Group,Healthcare Services,Lab Services,Southeast,Public,2012-01-01,7336,572.2,19.9,28.5
TGT-0162,Voyager Biomedical,Medical Devices,Diagnostic Equipment,Mid-Atlantic,Physician-Owned,2002-01-01,6613,263.9,19.5,10.1
TGT-0163,Sterling Recovery Centers,Behavioral Health,Psychiatric Hospitals,Southeast,Private,2005-01-01,5464,357.8,20.0,20.1
TGT-0164,Bridgepoint Behavioral Health,Behavioral Health,Eating Disorder Treatment,Northeast,Nonprofit,2007-01-01,5086,761.8,15.4,29.3
TGT-0165,Illuminate Medical Group,Healthcare Services,Ambulatory Surgery Centers,Multi-Regional,Nonprofit,1995-01-01,7855,265.0,30.9,18.7
TGT-0166,Radius Revenue Solutions,Revenue Cycle,Coding Services,Southwest,Nonprofit,2008-01-01,3016,229.0,23.3,16.2
TGT-0167,Embark Financial Services,Revenue Cycle,Claims Management,Southeast,Physician-Owned,1993-01-01,4387,324.8,16.5,4.8
TGT-0168,Encore Health Analytics,Health IT,EHR/EMR,Multi-Regional,Family-Owned,1992-01-01,2194,269.9,27.0,2.5
TGT-0169,Uplift Insurance Solutions,Health Insurance,Medicaid Managed Care,Southeast,PE-Backed,1989-01-01,3753,190.3,27.3,29.9
TGT-0170,Eclipse Device Solutions,Medical Devices,Orthopedic Devices,Multi-Regional,Public,2004-01-01,7024,343.5,27.2,19.5
TGT-0171,Xcel Mental Wellness,Behavioral Health,Autism Services,Southeast,PE-Backed,1993-01-01,1989,248.3,8.7,14.4
TGT-0172,Continuum Surgical,Medical Devices,Cardiac Devices,National,Private,1989-01-01,2583,200.9,27.4,11.8
TGT-0173,Flatiron Pharma,Pharma/Biotech,CDMO,Midwest,Public,1989-01-01,3736,320.9,22.0,-0.5
TGT-0174,Encore Physician Partners,Physician Groups,Anesthesia Groups,Mountain West,Physician-Owned,1988-01-01,6860,308.0,12.1,0.8
TGT-0175,Bridgepoint Device Solutions,Medical Devices,Diagnostic Equipment,West Coast,Private,2001-01-01,1658,176.1,22.9,-0.6
TGT-0176,Acumen Home Health,Home Health/Hospice,Personal Care,Multi-Regional,Nonprofit,1995-01-01,4898,700.4,12.2,18.1
TGT-0177,Equinox Health Plans,Health Insurance,Medicaid Managed Care,Northeast,Private,1987-01-01,7820,836.5,23.6,17.8
TGT-0178,Luminary Health Plans,Health Insurance,Dental Insurance,Great Plains,Nonprofit,2003-01-01,5308,768.6,21.0,23.2
TGT-0179,Prism Pharma,Pharma/Biotech,Biotech Therapeutics,Northeast,PE-Backed,2013-01-01,3454,304.3,13.5,16.2
TGT-0180,Bridgepoint Biomedical,Medical Devices,Orthopedic Devices,Midwest,Public,2017-01-01,4651,198.8,14.5,-0.7
TGT-0181,Titan Revenue Solutions,Revenue Cycle,Billing Services,Northeast,Public,2009-01-01,7129,740.3,14.7,25.3
TGT-0182,Flatiron Recovery Centers,Behavioral Health,Autism Services,Southwest,PE-Backed,2016-01-01,4266,367.0,31.7,12.4
TGT-0183,Wellspring Health Analytics,Health IT,Clinical Decision Support,Southwest,PE-Backed,2007-01-01,448,16.2,21.4,25.9
TGT-0184,Acumen Revenue Solutions,Revenue Cycle,Claims Management,Southeast,Family-Owned,1993-01-01,7279,449.4,17.9,9.1
TGT-0185,Beacon Medical,Healthcare Services,Specialty Clinics,Multi-Regional,PE-Backed,2008-01-01,4582,296.1,18.4,10.8
TGT-0186,Luminary Clinical Group,Physician Groups,Cardiology Groups,Southeast,PE-Backed,1991-01-01,3276,245.0,34.6,14.5
TGT-0187,Gateway Device Solutions,Medical Devices,Diagnostic Equipment,Multi-Regional,Family-Owned,2017-01-01,379,13.4,11.7,6.7
TGT-0188,Prism RCM Services,Revenue Cycle,Denial Management,National,Physician-Owned,1993-01-01,2736,387.9,16.6,8.8
TGT-0189,Halcyon Benefits Group,Health Insurance,Medicaid Managed Care,Multi-Regional,Physician-Owned,2016-01-01,5855,571.2,20.8,-4.4
TGT-0190,Keybridge Device Solutions,Medical Devices,Surgical Instruments,West Coast,Nonprofit,1986-01-01,4939,429.5,34.1,22.4
TGT-0191,Kinetic Health Plans,Health Insurance,Supplemental Insurance,National,Family-Owned,1995-01-01,4344,458.2,24.7,24.4
TGT-0192,Apex Wellness Group,Behavioral Health,Mental Health Clinics,Southeast,PE-Backed,1986-01-01,3662,247.7,12.1,19.2
TGT-0193,Kensington Life Sciences,Pharma/Biotech,Drug Delivery,Northeast,Nonprofit,1993-01-01,4299,235.9,16.8,18.2
TGT-0194,Vertex Physician Partners,Physician Groups,Orthopedic Groups,Great Plains,Physician-Owned,2006-01-01,4525,328.1,28.8,20.2
TGT-0195,Tidewater Hospice Care,Home Health/Hospice,Personal Care,Southwest,Public,2004-01-01,1892,270.5,34.5,22.0
TGT-0196,Vertex Dental Care,Dental,Pediatric Dental,Mid-Atlantic,Physician-Owned,2002-01-01,2407,107.4,26.3,8.3
TGT-0197,Titan Biopharma,Pharma/Biotech,Biotech Therapeutics,Northeast,Public,1990-01-01,2887,406.7,25.7,21.2
TGT-0198,Acumen Smile Partners,Dental,Orthodontics,Multi-Regional,Nonprofit,2002-01-01,1174,50.6,28.0,3.4
TGT-0199,Zephyr Healthcare,Healthcare Services,Lab Services,Southwest,Private,1991-01-01,3435,239.2,20.8,18.8
TGT-0200,Continuum Mental Wellness,Behavioral Health,Substance Abuse Treatment,Mountain West,Nonprofit,2015-01-01,3961,428.0,28.4,5.1
TGT-0201,Keystone Visiting Health,Home Health/Hospice,Home Health,Southwest,Physician-Owned,1987-01-01,7531,1058.7,19.3,24.3
TGT-0202,Voyager Healthcare,Healthcare Services,Specialty Clinics,West Coast,Private,1985-01-01,2494,244.8,10.9,29.4
TGT-0203,Benchmark Visiting Health,Home Health/Hospice,Home Infusion,Great Plains,PE-Backed,2017-01-01,3884,243.7,29.8,6.6
TGT-0204,Encore Revenue Solutions,Revenue Cycle,Claims Management,Mid-Atlantic,Public,1997-01-01,1487,153.6,25.2,9.2
TGT-0205,Westward Pharma,Pharma/Biotech,Drug Delivery,Mountain West,Nonprofit,1991-01-01,1563,231.0,20.9,27.8
TGT-0206,Granite Healthcare,Healthcare Services,Post-Acute Care,Great Plains,Public,2006-01-01,2523,252.0,23.5,4.2
